years,crashes,fatal_crashes,ped_crashes,ped_fatal_crashes,fatal_percent_overall,fatal_percent_pedestrian
2015,120703,507,1367,59,0.42003926994358054,4.316020482809071
2016,120770,558,1412,77,0.4620352736606773,5.453257790368272
2017,119104,600,1448,87,0.5037614185921547,6.00828729281768
2018,122356,588,1418,86,0.48056490895419923,6.064880112834979
2019,121407,544,1383,70,0.4480796000230629,5.061460592913955
2020,86817,574,1062,88,0.6611608325558359,8.286252354048965
2021,97790,638,1260,84,0.6524184476940382,6.666666666666667
2022,95381,699,1312,104,0.7328503580377643,7.926829268292683
2023,102786,666,1570,128,0.6479481641468683,8.152866242038217
2024,100665,642,1701,110,0.6377589032931009,6.466784244562023
2025,96173,642,1626,114,0.6675470246326931,7.011070110701106
