intersection_name,intersection_type,scenario,ped_estimation_type,lighting_cmf,twltl_cmf,bulbout_cmf,signal_cmf,school_cmf,pedvol,nlanes,aadt_maj,aadt_minor,nbi_mv,nbi_sv,nbi_all,nped_base,cmf_veh,cmf_ped,ped_factor,pred_veh,pred_ped,long_run_ped_prob,years,long_run_ped_percent
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.011043172219507569,1,1.1
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.021964392786345432,2,2.2
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.032765008433616405,3,3.28
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.043446351022217944,4,4.34
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.05400973770507789,5,5.4
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.06445647108957786,6,6.45
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.07478783939818145,7,7.48
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.08500511662729004,8,8.5
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.09510956270434312,9,9.51
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.10510242364318456,10,10.51
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.11498493169771273,11,11.5
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.12475830551383416,12,12.48
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.13442375027973852,13,13.44
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.1439824578745148,14,14.4
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.15343560701512615,15,15.34
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.16278436340176095,16,16.28
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.17202987986157992,17,17.2
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.18117329649087488,18,18.12
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.19021574079565784,19,19.02
